"city","date","rain_start_hour"
Kazan,2023-08-12,11
Kazan,2023-09-12,13
Moscow,2023-08-12,12
Moscow,2023-09-12,18
Novosibirsk,2023-08-12,10
Novosibirsk,2023-09-12,22
Saint Petersburg,2023-08-12,14
Saint Petersburg,2023-09-12,19
Tula,2023-08-12,12
Tula,2023-09-12,23
